Location,Employer Only,Non-group Only,Medicaid and Private Insurance,Medicaid and Medicare,Medicaid Only,Medicare and Private Insurance,Medicare Only,Military,Uninsured,Total,Footnotes,Year
Minnesota,3069000,314600.0,67200.0,121100,567900,470700,169700,38900.0,437400,5256300,,2012
Mississippi,1163700,130100.0,46500.0,141800,514100,202300,140100,53200.0,492800,2884500,,2012
Missouri,2891500,326900.0,72300.0,165900,656600,509000,304200,94400.0,809800,5830600,,2012
Montana,415000,76400.0,9300.0,29000,109300,88800,50800,20600.0,179300,978700,,2012
Nebraska,988600,128900.0,20300.0,46100,157500,149100,65700,38900.0,199900,1795100,,2012
Nevada,1287200,134500.0,38500.0,61700,224500,168600,144600,54500.0,596900,2710900,,2012
New Hampshire,743300,53300.0,15600.0,31700,101900,117300,57800,15700.0,143500,1280100,,2012
New Jersey,4936100,365700.0,98600.0,244200,874000,645100,372300,40300.0,1109200,8685500,,2012
New Mexico,810900,84700.0,37800.0,70300,355400,139300,120300,36900.0,383600,2039200,,2012
New York,9706700,750700.0,407700.0,718700,3138200,1343000,796800,88500.0,2089800,19040100,,2012
North Carolina,4202100,541200.0,126100.0,307700,1235300,742800,458100,266900.0,1559000,9439200,,2012
North Dakota,383300,59700.0,5800.0,16300,36700,62900,19600,15800.0,71800,671900,,2012
Ohio,5901000,451200.0,193400.0,303300,1424900,989600,543100,110500.0,1305000,11222100,,2012
Oklahoma,1637800,166800.0,60000.0,102500,468800,299400,198000,77100.0,679000,3689500,,2012
Oregon,1810200,238200.0,73900.0,114700,474700,334700,175300,46600.0,557200,3825500,,2012
Pennsylvania,6610200,631000.0,227700.0,402000,1457800,1204500,527100,88500.0,1198900,12347600,,2012
Rhode Island,536400,40400.0,18300.0,43400,117400,81100,44100,11500.0,115400,1007900,,2012
South Carolina,2030200,196300.0,65000.0,160100,614900,389600,237100,114000.0,761900,4569100,,2012
South Dakota,403600,73400.0,10700.0,22900,81100,68000,36100,19000.0,85800,800400,,2012
Tennessee,2947000,325100.0,98300.0,220700,857100,507300,328400,119200.0,874300,6277400,,2012
Texas,11348200,1086200.0,296400.0,685100,3514600,1308700,988600,449900.0,5706600,25384300,,2012
Utah,1651800,162100.0,45900.0,48500,222200,152300,88000,38700.0,392200,2801700,,2012
Vermont,297600,30500.0,14400.0,28500,104500,53500,27200,4600.0,39900,600700,,2012
Virginia,4295200,418100.0,72000.0,167300,620100,643800,310000,352800.0,986200,7865500,,2012
Washington,3406200,401200.0,116600.0,190200,736600,524900,252200,176200.0,928700,6732900,,2012
West Virginia,861700,39300.0,22000.0,69300,227200,180800,113900,30800.0,256600,1801800,,2012
Wisconsin,3105800,261900.0,102100.0,168800,655400,473000,239500,47000.0,512600,5566100,,2012
Wyoming,286900,34300.0,8500.0,16800,44900,40900,24300,12600.0,89800,559000,,2012
Puerto Rico,987500,283300.0,39100.0,291000,1336900,142200,267800,23000.0,263200,3634000,,2012
Alabama,2143300,263600.0,85500.0,188000,620200,409600,258100,94600.0,642900,4705800,,2013
Alaska,365800,24800.0,11400.0,12400,73700,34900,16800,34400.0,130900,705100,,2013
Arizona,2768300,357000.0,104200.0,175000,928700,506300,395400,107500.0,1123300,6465700,,2013
Arkansas,1182300,136500.0,45300.0,122100,444700,230200,185200,58900.0,463400,2868600,,2013
California,17000500,2405300.0,521800.0,1262800,5780200,2064700,1628800,406900.0,6440200,37511300,,2013
Colorado,2568800,400600.0,77200.0,109500,541800,347200,222300,148000.0,714900,5130200,,2013
Connecticut,1898300,172900.0,51600.0,106000,447300,269900,173000,34300.0,325700,3479000,,2013
